video_id,comment_id,parent_id,thread_id,is_reply,author,published_at,updated_at,like_count,text,toxicity_label,toxicity_score,label,note
ak6HXB6--HM,UgwP_QctFWI2AmgqBsJ4AaABAg,,UgwP_QctFWI2AmgqBsJ4AaABAg,0,@arashitattaww,2023-05-26T08:40:56Z,2023-05-26T08:40:56Z,246,"スプラトゥーンしたい人は
Twitter「tattaww_」まで。",,,0,
ak6HXB6--HM,UgwP_QctFWI2AmgqBsJ4AaABAg.9qAJ4mEkrEE9qAn3pwG2QK,UgwP_QctFWI2AmgqBsJ4AaABAg,UgwP_QctFWI2AmgqBsJ4AaABAg,1,@焼酎-j4h,2023-05-26T13:11:40Z,2023-05-26T13:11:40Z,8,スプラトゥーン持ってない😢,,,0,
ak6HXB6--HM,UgwP_QctFWI2AmgqBsJ4AaABAg.9qAJ4mEkrEE9qB2mULmoDs,UgwP_QctFWI2AmgqBsJ4AaABAg,UgwP_QctFWI2AmgqBsJ4AaABAg,1,@zxcv_00-g6q,2023-05-26T15:37:43Z,2023-05-26T15:37:43Z,5,スプラトゥーン2しかないよ😭,,,0,
ak6HXB6--HM,UgwP_QctFWI2AmgqBsJ4AaABAg.9qAJ4mEkrEE9qBz4pjonY8,UgwP_QctFWI2AmgqBsJ4AaABAg,UgwP_QctFWI2AmgqBsJ4AaABAg,1,@タカシュ-l7u,2023-05-27T00:15:54Z,2023-05-27T00:15:54Z,16,スプラ3持ってるけどツイッターやってないからやれねぇ 😭,,,0,
ak6HXB6--HM,UgwP_QctFWI2AmgqBsJ4AaABAg.9qAJ4mEkrEE9qCGY44hfhW,UgwP_QctFWI2AmgqBsJ4AaABAg,UgwP_QctFWI2AmgqBsJ4AaABAg,1,@殺意の猫大好きチャンネル登,2023-05-27T02:57:11Z,2023-05-27T02:57:11Z,8,てめぇマイクラの次スプラか、次はロブロか,,,1,
ak6HXB6--HM,UgwP_QctFWI2AmgqBsJ4AaABAg.9qAJ4mEkrEE9qCb-GrtXcj,UgwP_QctFWI2AmgqBsJ4AaABAg,UgwP_QctFWI2AmgqBsJ4AaABAg,1,@にゃんこ大戦争アンチコメントします,2023-05-27T06:04:40Z,2023-05-27T06:04:40Z,2,貧乏おお,,,0,
ak6HXB6--HM,UgwP_QctFWI2AmgqBsJ4AaABAg.9qAJ4mEkrEE9qCgnvmXRKK,UgwP_QctFWI2AmgqBsJ4AaABAg,UgwP_QctFWI2AmgqBsJ4AaABAg,1,@NON4545www,2023-05-27T06:55:25Z,2023-05-27T06:55:25Z,3,あるよぉー,,,0,
ak6HXB6--HM,UgwP_QctFWI2AmgqBsJ4AaABAg.9qAJ4mEkrEE9qCnERI1vQp,UgwP_QctFWI2AmgqBsJ4AaABAg,UgwP_QctFWI2AmgqBsJ4AaABAg,1,@nekoneko_25,2023-05-27T07:51:36Z,2023-05-27T07:51:36Z,6,一緒にやってみたい、,,,0,
ak6HXB6--HM,UgwP_QctFWI2AmgqBsJ4AaABAg.9qAJ4mEkrEE9qD80SJMVpg,UgwP_QctFWI2AmgqBsJ4AaABAg,UgwP_QctFWI2AmgqBsJ4AaABAg,1,@aksy-uk7zk,2023-05-27T11:01:56Z,2023-05-27T11:01:56Z,12,イキりキッズのフリすれば戦えるのか,,,1,
ak6HXB6--HM,UgwP_QctFWI2AmgqBsJ4AaABAg.9qAJ4mEkrEE9qDJoWoU5T8,UgwP_QctFWI2AmgqBsJ4AaABAg,UgwP_QctFWI2AmgqBsJ4AaABAg,1,@にカッコ,2023-05-27T12:45:01Z,2023-05-27T12:45:01Z,6,ちょこぺろやってくれんかな,,,0,
ak6HXB6--HM,UgwP_QctFWI2AmgqBsJ4AaABAg.9qAJ4mEkrEE9q_8GrtjZ7n,UgwP_QctFWI2AmgqBsJ4AaABAg,UgwP_QctFWI2AmgqBsJ4AaABAg,1,@kumasann06,2023-06-05T09:26:42Z,2024-06-17T21:25:24Z,0,​@にカッコティラミスとやりたい,,,0,
ak6HXB6--HM,UgwP_QctFWI2AmgqBsJ4AaABAg.9qAJ4mEkrEE9qbX4_dIgMg,UgwP_QctFWI2AmgqBsJ4AaABAg,UgwP_QctFWI2AmgqBsJ4AaABAg,1,@にゃんべる婦人,2023-06-06T07:41:58Z,2023-06-06T07:41:58Z,2,ハイパー下手くそだから上手な人と一緒にプレイしたいなぁ！といつも思うよぉ（笑）,,,0,
ak6HXB6--HM,UgwP_QctFWI2AmgqBsJ4AaABAg.9qAJ4mEkrEE9qqdw89IZoi,UgwP_QctFWI2AmgqBsJ4AaABAg,UgwP_QctFWI2AmgqBsJ4AaABAg,1,@kln-p7x,2023-06-12T04:39:11Z,2023-06-12T04:39:11Z,0,Twitterしてないんだよなぁ,,,0,
ak6HXB6--HM,UgwP_QctFWI2AmgqBsJ4AaABAg.9qAJ4mEkrEE9r6KcG7pS9f,UgwP_QctFWI2AmgqBsJ4AaABAg,UgwP_QctFWI2AmgqBsJ4AaABAg,1,@塩-k2e,2023-06-18T16:08:48Z,2023-06-18T16:08:48Z,0,Twitteyやってない,,,0,
ak6HXB6--HM,UgwP_QctFWI2AmgqBsJ4AaABAg.9qAJ4mEkrEE9rmlJW5sqbp,UgwP_QctFWI2AmgqBsJ4AaABAg,UgwP_QctFWI2AmgqBsJ4AaABAg,1,@ラキ-l3z,2023-07-05T12:58:07Z,2024-06-17T21:25:24Z,0,​@にゃんこ大戦争アンチコメントしますその言い方は良くないよクソガキ,,,1,
